File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,80,250,5000,0.674468740376,0.380869565217,0.486828942981,2041,0.3208
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120605-ML924__012.jpg,/Users/il239838/Development/models/ML924__012_250px_model400x50.ckpt,120,250,5000,0.677232447171,0.345565217391,0.457623215108,2041,0.3308

PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,0,125,7000,0.893913955929,0.944770988134,0.918639133013,2352,0.0628571428571
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,5,125,5000,0.850856389987,0.571808039667,0.683965261597,1940,0.2076
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,10,125,5000,0.842884250474,0.393306180273,0.53634387829,1940,0.2728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,20,125,5000,0.757602085143,0.308836550381,0.438797332998,1940,0.3106
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,40,125,5000,0.761383285303,0.233929520099,0.357897588729,1940,0.3248
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,80,125,5000,0.545236668664,0.161147511953,0.248769819574,1940,0.3746
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_125px_model400x50.ckpt,120,125,5000,0.688644688645,0.133168053834,0.223178513133,1940,0.36

PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,0,125,7000,0.631784320681,0.987579017412,0.770595361717,2352,0.189571428571
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,5,125,5000,0.645608018992,0.866831946166,0.740040819412,1940,0.2544
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,10,125,5000,0.614047097481,0.794227023198,0.692610609219,1940,0.2928
