fragmentAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,origCoordinates,class,votesOverlapMax,divideOverlapMaxBySideTotal,votesOverlapHeight,votesSupportOverlapRect,divideSupportOverlapBySideTotal,divideSupportOverlapBySideVote,prediction,frontImageCombined,backImageCombined
P593Fg005_1_P593Fg011_0,P593Fg005_P593Fg011,240,137,0.570833333,72,55,0.763888889,55,0.763888889,1,0.013888889,0,0,P593Fg005,2099,2814,1994,1,P593Fg011,1364,2824,1898,1,[],0,17,0.236111111,50,17,0.236111111,0.309090909,1,ux593_20190105/R=P593Fg005_1_P593Fg011_0.jpg,ux593_20190105/V=P593Fg005_1_P593Fg011_0.jpg
P593Fg011_1_P593Fg015_1,P593Fg011_P593Fg015,608,263,0.432565789,152,43,0.282894737,43,0.282894737,2,0.013157895,1,0.006578947,P593Fg011,1364,2824,1898,1,P593Fg015,1184,2802,1572,1,[],0,17,0.111842105,50,17,0.111842105,0.395348837,1,ux593_20190105/R=P593Fg011_1_P593Fg015_1.jpg,ux593_20190105/V=P593Fg011_1_P593Fg015_1.jpg
P593Fg017_0_P593Fg018_0,P593Fg017_P593Fg018,676,302,0.446745562,169,57,0.337278107,57,0.337278107,1,0.00591716,0,0,P593Fg017,912,3079,1875,1,P593Fg018,979,3152,1684,1,[],0,17,0.100591716,50,17,0.100591716,0.298245614,1,ux593_20190105/R=P593Fg017_0_P593Fg018_0.jpg,ux593_20190105/V=P593Fg017_0_P593Fg018_0.jpg
P593Fg013_1_P593Fg016_0,P593Fg013_P593Fg016,1024,275,0.268554688,240,67,0.279166667,67,0.279166667,1,0.004166667,0,0,P593Fg013,1270,3200,1525,1,P593Fg016,1044,2842,1766,1,[],0,17,0.070833333,50,17,0.070833333,0.253731343,1,ux593_20190105/R=P593Fg013_1_P593Fg016_0.jpg,ux593_20190105/V=P593Fg013_1_P593Fg016_0.jpg
P593Fg015_1_P593Fg018_0,P593Fg015_P593Fg018,988,436,0.441295547,247,75,0.303643725,75,0.303643725,1,0.004048583,0,0,P593Fg015,1184,2802,1572,1,P593Fg018,979,3152,1684,1,[],0,17,0.068825911,150,17,0.068825911,0.226666667,1,ux593_20190105/R=P593Fg015_1_P593Fg018_0.jpg,ux593_20190105/V=P593Fg015_1_P593Fg018_0.jpg
P593Fg002_0_P593Fg013_1,P593Fg002_P593Fg013,1280,206,0.1609375,320,66,0.20625,64,0.2,1,0.003125,0,0,P593Fg002,1264,2550,1609,1,P593Fg013,1270,3200,1525,1,[],0,17,0.053125,50,17,0.053125,0.257575758,1,ux593_20190105/R=P593Fg002_0_P593Fg013_1.jpg,ux593_20190105/V=P593Fg002_0_P593Fg013_1.jpg
P593Fg003_0_P593Fg015_1,P593Fg003_P593Fg015,1748,324,0.185354691,437,63,0.14416476,63,0.14416476,1,0.00228833,0,0,P593Fg003,1542,2531,1629,1,P593Fg015,1184,2802,1572,1,[],0,17,0.038901602,50,17,0.038901602,0.26984127,1,ux593_20190105/R=P593Fg003_0_P593Fg015_1.jpg,ux593_20190105/V=P593Fg003_0_P593Fg015_1.jpg
P593Fg005_0_P593Fg016_0,P593Fg005_P593Fg016,480,216,0.45,96,59,0.614583333,59,0.614583333,1,0.010416667,0,0,P593Fg005,2099,2814,1994,1,P593Fg016,1044,2842,1766,1,[],0,16,0.166666667,100,21,0.21875,0.355932203,1,ux593_20190105/R=P593Fg005_0_P593Fg016_0.jpg,ux593_20190105/V=P593Fg005_0_P593Fg016_0.jpg
P593Fg011_0_P593Fg017_0,P593Fg011_P593Fg017,416,259,0.622596154,104,65,0.625,65,0.625,1,0.009615385,0,0,P593Fg011,1364,2824,1898,1,P593Fg017,912,3079,1875,1,[],0,16,0.153846154,100,21,0.201923077,0.323076923,1,ux593_20190105/R=P593Fg011_0_P593Fg017_0.jpg,ux593_20190105/V=P593Fg011_0_P593Fg017_0.jpg
P593Fg011_1_P593Fg016_1,P593Fg011_P593Fg016,512,296,0.578125,128,58,0.453125,58,0.453125,1,0.0078125,0,0,P593Fg011,1364,2824,1898,1,P593Fg016,1044,2842,1766,1,[],0,16,0.125,100,20,0.15625,0.344827586,1,ux593_20190105/R=P593Fg011_1_P593Fg016_1.jpg,ux593_20190105/V=P593Fg011_1_P593Fg016_1.jpg
